"e-folds N","cal(P)_zeta k=7.34e+03","cal(P)_zeta k=8.05e+06","max u_ij k=7.34e+03","max u_ij k=8.05e+06","max u_ijk k_t=22026.5","max u_ijk k_t=2.4155e+07","H"
2.3295999999999999e+01,5.5754947925761608e-11,1.5186932598114077e-10,7.4738662243867680e+01,8.0561164782221439e+01,1.0645683580182215e+05,1.0645612831088022e+05,7.5022685172016855e-06
2.3352000000000000e+01,5.5754922934055513e-11,1.3735721511227070e-10,7.4130282983462465e+01,7.9354938540420449e+01,1.0473119411096686e+05,1.0473055064328172e+05,7.4885567323531568e-06
2.3407999999999998e+01,5.5754900527378492e-11,1.2445352264044500e-10,7.3509067293487377e+01,7.8197385941151154e+01,1.0299351714406224e+05,1.0299293195106972e+05,7.4747712192852408e-06
2.3463999999999999e+01,5.5754880437852290e-11,1.1297919366587884e-10,7.2874998135866434e+01,7.7082150336279000e+01,1.0124443675204065e+05,1.0124390459585530e+05,7.4609110558544877e-06
2.3520000000000000e+01,5.5754862425396077e-11,1.0277513817146291e-10,7.2228062991936596e+01,7.6003534002356631e+01,9.9484601114411227e+04,9.9484117223110399e+04,7.4469753017722527e-06
2.3576000000000001e+01,5.5754846274891990e-11,9.3700007474557286e-11,7.1568254065638030e+01,7.4956430700664953e+01,9.7714674757774526e+04,9.7714234784521075e+04,7.4329629981163015e-06
2.3631999999999998e+01,5.5754831793611489e-11,8.5628213994272313e-11,7.0895568495525467e+01,7.3936265246611072e+01,9.5935338561647295e+04,9.5934938547330428e+04,7.4188731668256730e-06
2.3687999999999999e+01,5.5754818808873500e-11,7.8448171315672693e-11,7.0210008575500368e+01,7.2938939363083961e+01,9.4147289750709679e+04,9.4146926089809203e+04,7.4047048101781402e-06
2.3744000000000000e+01,5.5754807165921914e-11,7.2060731510088767e-11,6.9511581985639054e+01,7.1960783169066005e+01,9.2351241872959799e+04,9.2350911282362722e+04,7.3904569102495304e-06
2.3800000000000001e+01,5.5754796726017985e-11,6.6377798087433058e-11,6.8800302032512761e+01,7.0998511720229445e+01,9.0547924762654642e+04,9.0547624253175076e+04,7.3761284283540943e-06
2.3855999999999998e+01,5.5754787364744230e-11,6.1321095230010539e-11,6.8076187899753805e+01,7.0049186080022253e+01,8.8738084487255808e+04,8.8737811337629420e+04,7.3617183044652003e-06
2.3911999999999999e+01,5.5754778970508136e-11,5.6821075489105541e-11,6.7339264910333554e+01,6.9110178454603201e+01,8.6922483277728519e+04,8.6922235010871227e+04,7.3472254566154175e-06
2.3968000000000000e+01,5.5754771443226523e-11,5.2815949111346924e-11,6.8396717545752566e+01,6.9986293717247477e+01,8.6769261793904356e+04,8.6769486043215278e+04,7.3326487802751682e-06
2.4024000000000001e+01,5.5754764693162230e-11,4.9250819933886426e-11,6.9981518678118832e+01,7.1408370402110535e+01,8.9391677569802865e+04,8.9391877899992483e+04,7.3179871477089879e-06
2.4079999999999998e+01,5.5754758639884719e-11,4.6076915589239719e-11,7.1590517722781570e+01,7.2871343537908061e+01,9.2065884583300096e+04,9.2066063523432415e+04,7.3032394073084057e-06
2.4135999999999999e+01,5.5754753211328205e-11,4.3250902365461135e-11,7.3223914038034920e+01,7.4373695345852099e+01,9.4792171587514007e+04,9.4792331401005504e+04,7.2884043829004269e-06
2.4192000000000000e+01,5.5754748342930201e-11,4.0734276416247273e-11,7.4881906889509096e+01,7.5914084848597383e+01,9.7570807139669414e+04,9.7570949852047910e+04,7.2734808730305206e-06
2.4248000000000001e+01,5.5754743976841741e-11,3.8492823385335680e-11,7.6564695396142113e+01,7.7491329564290922e+01,1.0040203871751144e+05,1.0040216614128641e+05,7.2584676502189769e-06
2.4303999999999998e+01,5.5754740061209818e-11,3.6496138858302511e-11,7.8272478474045641e+01,7.9104389084391585e+01,1.0328609181089593e+05,1.0328620556783980e+05,7.2433634601894270e-06
